WARNING 2025-06-07 14:04:49,973 studio.views No email query parameter provided in request.
INFO 2025-06-07 14:05:47,122 studio.views Fetching upcoming fitness classes starting after 2025-06-07 08:35:47.122184+00:00
INFO 2025-06-07 14:06:08,565 studio.views Fetching upcoming fitness classes starting after 2025-06-07 08:36:08.564297+00:00
INFO 2025-06-07 14:06:30,182 studio.views Fetching upcoming fitness classes starting after 2025-06-07 08:36:30.182295+00:00
DEBUG 2025-06-07 15:03:59,330 studio.serializers Fetched FitnessClass ID 1: Zumba with 5 slots remaining.
INFO 2025-06-07 15:03:59,332 studio.serializers New client created: Alice (alice@example.com)
INFO 2025-06-07 15:03:59,333 studio.serializers Decremented slot for class 'Zumba'. Remaining slots: 4
INFO 2025-06-07 15:03:59,340 studio.serializers Booking created: Client 'Alice' booked 'Zumba' on 2025-06-07 09:33:56.672331+00:00
INFO 2025-06-07 15:03:59,340 studio.views Booking created: Client 'Alice' booked 'Zumba' on 2025-06-07 09:33:56.672331+00:00
INFO 2025-06-07 15:03:59,353 studio.serializers No slots available for class ID 1 (Zumba).
INFO 2025-06-07 15:03:59,426 studio.views Fetching bookings for client email: test@example.com
DEBUG 2025-06-07 15:03:59,715 studio.serializers Converting start_time '2025-06-07 09:33:59.424499+00:00' to timezone 'UTC'
DEBUG 2025-06-07 15:03:59,717 studio.serializers Converting start_time '2025-06-07 09:33:59.423648+00:00' to timezone 'UTC'
INFO 2025-06-07 15:03:59,726 studio.views Fetching upcoming fitness classes starting after 2025-06-07 09:33:59.726699+00:00
DEBUG 2025-06-07 15:03:59,729 studio.serializers Converting start_time '2025-06-08 09:33:59.724696+00:00' to timezone 'UTC'
DEBUG 2025-06-07 15:03:59,729 studio.serializers Converting start_time '2025-06-08 09:33:59.724696+00:00' to timezone 'UTC'
INFO 2025-06-07 15:03:59,741 studio.views Fetching upcoming fitness classes starting after 2025-06-07 09:33:59.741092+00:00
INFO 2025-06-07 15:03:59,754 studio.views Fetching list of all registered clients.
